date,variant,net_return_difference
2019-11-20,monthly_control,3.5350920937456034e-05
2019-11-21,monthly_control,-0.00012774934286493992
2019-11-22,monthly_control,5.166825244842387e-05
2019-11-25,monthly_control,0.00036556335054858827
2019-11-26,monthly_control,-3.5426199027673976e-06
2019-11-27,monthly_control,-0.00021467965112718164
2019-11-28,monthly_control,4.466478143801882e-05
2019-11-29,monthly_control,-0.00026490371454192035
2019-12-02,monthly_control,3.270956923786964e-05
2019-12-03,monthly_control,-0.0002879633026794566
2019-12-04,monthly_control,-0.00017750121032459026
2019-12-05,monthly_control,-9.46308853090978e-05
2019-12-06,monthly_control,-2.0002499369314755e-05
2019-12-09,monthly_control,-6.613859863271646e-05
2019-12-10,monthly_control,-0.00021241066889422452
2019-12-11,monthly_control,5.1480906519323815e-05
2019-12-12,monthly_control,-0.00016423766134909508
2019-12-13,monthly_control,7.505872802887354e-05
2019-12-16,monthly_control,-0.00016838583256276142
2019-12-17,monthly_control,0.0001654073969998694
2019-12-18,monthly_control,-3.382453476098485e-05
2019-12-19,monthly_control,7.827925753103751e-05
2019-12-20,monthly_control,9.29424904416685e-05
2019-12-23,monthly_control,0.0002183887337374557
2019-12-24,monthly_control,-0.00020657272806831606
2019-12-25,monthly_control,-0.0003873624711030303
2019-12-26,monthly_control,3.062157094845062e-05
2019-12-27,monthly_control,0.00042939929073701206
2019-12-30,monthly_control,7.374686323890611e-06
2019-12-31,monthly_control,7.561164199468588e-06
2020-01-02,monthly_control,-0.00014429555058876166
2020-01-03,monthly_control,1.2696985549322248e-05
2020-01-06,monthly_control,-8.50286149565577e-05
2020-01-07,monthly_control,0.0002099321750783029
2020-01-08,monthly_control,7.64514619436352e-05
2020-01-09,monthly_control,-0.00011841966390924023
2020-01-10,monthly_control,-0.00019434544899820348
2020-01-13,monthly_control,-0.00029526351954990834
2020-01-14,monthly_control,5.556639658691083e-05
2020-01-15,monthly_control,-0.000173399944378789
2020-01-16,monthly_control,1.098419496851639e-07
2020-01-17,monthly_control,-1.0851474705714606e-06
2020-01-20,monthly_control,-0.0004797828914460227
2020-01-21,monthly_control,-0.00021670657208510075
2020-01-22,monthly_control,-0.00044615186453758377
2020-01-23,monthly_control,-0.0001717550287209657
2020-02-03,monthly_control,8.611019222608263e-05
2020-02-04,monthly_control,5.3994974060846655e-05
2020-02-05,monthly_control,3.5301415196458547e-05
2020-02-06,monthly_control,4.247738938452372e-05
2020-02-07,monthly_control,-0.00021123363292829475
2020-02-10,monthly_control,0.0003045362848153885
2020-02-11,monthly_control,5.242564274814121e-05
2020-02-12,monthly_control,-0.00018754439315237653
2020-02-13,monthly_control,-5.262800529615445e-05
2020-02-14,monthly_control,-0.00048652578999656146
2020-02-17,monthly_control,-0.00018675115220716243
2020-02-18,monthly_control,-0.0006389131686832657
2020-02-19,monthly_control,5.005594889023225e-05
2020-02-20,monthly_control,-8.038123419539054e-05
2020-02-21,monthly_control,-0.00020214616482804168
2020-02-24,monthly_control,-0.0006443498201666333
2020-02-25,monthly_control,-0.000496839597616207
2020-02-26,monthly_control,0.000937629350003957
2020-02-27,monthly_control,0.00029902822885668155
2020-02-28,monthly_control,8.282754034601159e-05
2020-03-02,monthly_control,0.00025135950681969173
2020-03-03,monthly_control,-8.721212166368502e-05
2020-03-04,monthly_control,0.00029353747264306853
2020-03-05,monthly_control,0.0001524479902609401
2020-03-06,monthly_control,-0.00021500511746171038
2020-03-09,monthly_control,-5.432499618186065e-05
2020-03-10,monthly_control,-0.00031929707520607625
2020-03-11,monthly_control,0.00015305820179010998
2020-03-12,monthly_control,-0.0004425181075713956
2020-03-13,monthly_control,-0.0004937611604797637
2020-03-16,monthly_control,0.000157252365422373
