schedule_year,calibration_start,calibration_end,validation_start,validation_end,variance_penalty,shortfall_penalty,model,gross_annual_return,net_annual_return,transaction_cost_drag,annualized_volatility,sharpe_ratio,turnover_adjusted_sharpe,sortino_ratio,max_drawdown,calmar_ratio,total_return,avg_monthly_turnover,annualized_turnover,cvar_95_daily_loss,sharpe_standard_error,quarterly_sharpe_median,quarterly_sharpe_min,solver_count,future_information_count,variance_rank,shortfall_rank,within_one_standard_error,selected
2022,2019-12-06,2020-12-18,2020-12-21,2021-12-31,0.1189355251699408,18.61030491106525,Global RRP,0.0773217338251248,0.07637387752501,0.0009478563001148,0.0356923652163068,2.088324569726703,2.1397819130831053,2.948743068692379,-0.0190612206792382,4.006767394923331,0.07637387752501,0.2256905089460859,2.85769322427534,0.0053742129848291,1.0063158117436035,1.951290246283203,0.5026163504644067,54,0,2,2,True,False
2023,2020-12-07,2021-12-17,2021-12-20,2022-12-30,0.1336116991429079,8.519576274913973,Global RRP,0.0093101980429715,0.0088873313182831,0.0004228667246883,0.0337542863612274,0.2800020590781235,0.2632948960370179,0.384062269372169,-0.0260438195012102,0.3412453122657421,0.0088873313182831,0.1074686766641503,1.3607683839214717,0.0050486762664988,1.0020679823948138,-0.2286251403315528,-1.0768479688374548,52,0,0,0,True,True
2023,2020-12-07,2021-12-17,2021-12-20,2022-12-30,0.1336116991429079,21.801910546380466,Global RRP,0.0093264915723774,0.0088936560076586,0.0004328355647187,0.0337626198676734,0.2801276722647002,0.263417236059162,0.3842388082889812,-0.0260043805595993,0.3420060703724649,0.0088936560076586,0.1100009173702248,1.3928316157417868,0.0050483017126947,1.0020680523295504,-0.2283905555967403,-1.076219529341183,52,0,0,1,True,False
2023,2020-12-07,2021-12-17,2021-12-20,2022-12-30,0.1336116991429079,109.2552565810145,Global RRP,0.0093343409488286,0.0088958632280402,0.0004384777207884,0.0337675424720054,0.2801567886571413,0.2634442004601095,0.3842805338585079,-0.0259840274800844,0.3423589062495615,0.0088958632280402,0.1114342316330112,1.4109802409371883,0.0050482892312141,1.0020680685444854,-0.2282646527529299,-1.0759755799040425,52,0,0,2,True,False
2023,2020-12-07,2021-12-17,2021-12-20,2022-12-30,0.1522438759604273,8.519576274913973,Global RRP,0.0100469995294756,0.0096151281141456,0.0004318714153299,0.0328420282506292,0.3089031769609767,0.2927690105120543,0.4241885358828643,-0.0252089284861829,0.3814175647892266,0.0096151281141456,0.1096759507698759,1.3887168886481696,0.0049298287452237,1.0020848994782945,-0.1734035516852476,-1.0768729242201391,52,0,1,0,True,False
2023,2020-12-07,2021-12-17,2021-12-20,2022-12-30,0.1522438759604273,21.801910546380466,Global RRP,0.0100728353113612,0.0096295667627841,0.0004432685485771,0.0328515994832545,0.3092597847724073,0.2931232242647004,0.4246917151007224,-0.0251593099997431,0.3827436747224967,0.0096295667627841,0.1125679784492992,1.4253357431250264,0.0049294704924189,1.002085118584942,-0.1730702283613818,-1.0752467082688066,52,0,1,1,True,False
2023,2020-12-07,2021-12-17,2021-12-20,2022-12-30,0.1522438759604273,109.2552565810145,Global RRP,0.0100866896117757,0.0096370055426553,0.0004496840691203,0.0328573302576845,0.3094366915715246,0.29329849586308,0.4249424530089874,-0.0251322100174422,0.3834523719150471,0.0096370055426553,0.1141959640260916,1.445949296498373,0.0049292725518548,1.0020852273736498,-0.1729400089738456,-1.0743009275406563,52,0,1,2,True,False
2023,2020-12-07,2021-12-17,2021-12-20,2022-12-30,0.1702761900545495,8.519576274913973,Global RRP,0.0107906388800462,0.0103511663434161,0.0004394725366301,0.0320540671941149,0.3385283078321857,0.3229283285871626,0.4654524827930418,-0.0243557034939699,0.4249996862533208,0.0103511663434161,0.1115229490003577,1.4121035802425297,0.0048256782658379,1.0021039633774234,-0.1261693451748946,-1.0596699597783692,52,0,2,0,True,False
2023,2020-12-07,2021-12-17,2021-12-20,2022-12-30,0.1702761900545495,21.801910546380466,Global RRP,0.0108164121773948,0.0103643726897553,0.0004520394876394,0.0320646929888568,0.3388359902496936,0.3232331802882743,0.4658940267142095,-0.0243022162789487,0.4264784977135277,0.0103643726897553,0.1147097075434668,1.4524543169153772,0.0048252632767405,1.0021041705243263,-0.1257733782926694,-1.057851583987974,52,0,2,1,True,False
2023,2020-12-07,2021-12-17,2021-12-20,2022-12-30,0.1702761900545495,109.2552565810145,Global RRP,0.0108267391269814,0.0103675833748764,0.0004591557521049,0.0320713184436647,0.3388720728182133,0.3232665159397087,0.4659522951241823,-0.0242726393721665,0.4271304498827991,0.0103675833748764,0.1165147312327273,1.4753095268687937,0.0048250496540165,1.002104194829208,-0.1255966577869331,-1.0567539717745775,52,0,2,2,True,False
