date,weight_红利ETF,weight_上证指数ETF,weight_沪深300ETF,weight_中证1000ETF,weight_恒生ETF,weight_恒生科技ETF,weight_科创50ETF,weight_0-5中高信用票,weight_中证转债,weight_黄金ETF
2019-09-12,0.2289399102784806,0.037760530422790706,0.002543210047085892,0.0,0.10155385856127842,0.0,0.0,0.0,0.0,0.4197887039679985
2019-09-16,0.2289399102784806,0.037760530422790706,0.002543210047085892,0.0,0.10155385856127842,0.0,0.0,0.0,0.0,0.4197887039679985
2019-09-17,0.2289399102784806,0.037760530422790706,0.002543210047085892,0.0,0.10155385856127842,0.0,0.0,0.0,0.0,0.4197887039679985
2019-09-18,0.2289399102784806,0.037760530422790706,0.002543210047085892,0.0,0.10155385856127842,0.0,0.0,0.0,0.0,0.4197887039679985
2019-09-19,0.2289399102784806,0.037760530422790706,0.002543210047085892,0.0,0.10155385856127842,0.0,0.0,0.0,0.0,0.4197887039679985
2019-09-20,0.2289399102784806,0.037760530422790706,0.002543210047085892,0.0,0.10155385856127842,0.0,0.0,0.0,0.0,0.4197887039679985
2019-09-23,0.2289399102784806,0.037760530422790706,0.002543210047085892,0.0,0.10155385856127842,0.0,0.0,0.0,0.0,0.4197887039679985
2019-09-24,0.2289399102784806,0.037760530422790706,0.002543210047085892,0.0,0.10155385856127842,0.0,0.0,0.0,0.0,0.4197887039679985
2019-09-25,0.2289399102784806,0.037760530422790706,0.002543210047085892,0.0,0.10155385856127842,0.0,0.0,0.0,0.0,0.4197887039679985
2019-09-26,0.2289399102784806,0.037760530422790706,0.002543210047085892,0.0,0.10155385856127842,0.0,0.0,0.0,0.0,0.4197887039679985
2019-09-27,0.2289399102784806,0.037760530422790706,0.002543210047085892,0.0,0.10155385856127842,0.0,0.0,0.0,0.0,0.4197887039679985
2019-09-30,1.2132970935569135e-12,0.03917917361030945,0.00688082975563322,0.06955978968443112,2.9504437683021956e-12,0.0,0.0,0.4170676878479871,0.0,0.5403760141222095
2019-10-08,1.2132970935569135e-12,0.03917917361030945,0.00688082975563322,0.06955978968443112,2.9504437683021956e-12,0.0,0.0,0.4170676878479871,0.0,0.5403760141222095
2019-10-09,1.2132970935569135e-12,0.03917917361030945,0.00688082975563322,0.06955978968443112,2.9504437683021956e-12,0.0,0.0,0.4170676878479871,0.0,0.5403760141222095
2019-10-10,1.2132970935569135e-12,0.03917917361030945,0.00688082975563322,0.06955978968443112,2.9504437683021956e-12,0.0,0.0,0.4170676878479871,0.0,0.5403760141222095
2019-10-11,1.2132970935569135e-12,0.03917917361030945,0.00688082975563322,0.06955978968443112,2.9504437683021956e-12,0.0,0.0,0.4170676878479871,0.0,0.5403760141222095
2019-10-14,1.2132970935569135e-12,0.03917917361030945,0.00688082975563322,0.06955978968443112,2.9504437683021956e-12,0.0,0.0,0.4170676878479871,0.0,0.5403760141222095
2019-10-15,1.2132970935569135e-12,0.03917917361030945,0.00688082975563322,0.06955978968443112,2.9504437683021956e-12,0.0,0.0,0.4170676878479871,0.0,0.5403760141222095
2019-10-16,1.2132970935569135e-12,0.03917917361030945,0.00688082975563322,0.06955978968443112,2.9504437683021956e-12,0.0,0.0,0.4170676878479871,0.0,0.5403760141222095
2019-10-17,1.2132970935569135e-12,0.03917917361030945,0.00688082975563322,0.06955978968443112,2.9504437683021956e-12,0.0,0.0,0.4170676878479871,0.0,0.5403760141222095
2019-10-18,1.2132970935569135e-12,0.03917917361030945,0.00688082975563322,0.06955978968443112,2.9504437683021956e-12,0.0,0.0,0.4170676878479871,0.0,0.5403760141222095
2019-10-21,1.2132970935569135e-12,0.03917917361030945,0.00688082975563322,0.06955978968443112,2.9504437683021956e-12,0.0,0.0,0.4170676878479871,0.0,0.5403760141222095
2019-10-22,1.2132970935569135e-12,0.03917917361030945,0.00688082975563322,0.06955978968443112,2.9504437683021956e-12,0.0,0.0,0.4170676878479871,0.0,0.5403760141222095
2019-10-23,1.2132970935569135e-12,0.03917917361030945,0.00688082975563322,0.06955978968443112,2.9504437683021956e-12,0.0,0.0,0.4170676878479871,0.0,0.5403760141222095
2019-10-24,1.2132970935569135e-12,0.03917917361030945,0.00688082975563322,0.06955978968443112,2.9504437683021956e-12,0.0,0.0,0.4170676878479871,0.0,0.5403760141222095
