window,model,start_date,end_date,observations,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,calmar_ratio,cvar_95_daily_loss,avg_monthly_turnover,annualized_turnover
rolling_36m_2013-01-01_2015-12-31,Convex Adaptive Global RRP,2013-01-04,2015-12-31,727,0.48692622613416003,0.2237295464014832,1.7520616692763273,-0.24611126464741195,1.9784800457295135,0.030000263738140825,0.0,0.0
rolling_36m_2014-01-01_2016-12-31,Convex Adaptive Global RRP,2014-01-02,2016-12-30,733,0.3832697207577296,0.2209068130364899,1.458510770927145,-0.24611126464741184,1.5573026342650997,0.03185319526207248,0.0,0.0
rolling_36m_2015-01-01_2017-12-31,Convex Adaptive Global RRP,2015-01-05,2017-12-29,732,0.2722752854018675,0.20566599588857115,1.1475854733667477,-0.24611126464741162,1.1063097245546216,0.03105934358620607,0.0,0.0
rolling_36m_2016-01-01_2018-12-31,Convex Adaptive Global RRP,2016-01-04,2018-12-28,731,-0.010571748806573966,0.17569050345670142,-0.13275011801456052,-0.2534004415345852,-0.04171953585617998,0.0269520255997234,0.0,0.0
rolling_36m_2017-01-01_2019-12-31,Convex Adaptive Global RRP,2017-01-03,2019-12-31,731,0.047397039138390884,0.16923298550316326,0.18595565076492848,-0.25340044153458663,0.18704402743482063,0.023245751467187267,0.0,0.0
rolling_36m_2018-01-01_2020-12-31,Convex Adaptive Global RRP,2018-01-02,2020-12-31,730,0.1472932434592582,0.1988414066931588,0.6617361175471798,-0.2534004415345862,0.5812667198496353,0.02765778798093523,0.0,0.0
rolling_36m_2019-01-01_2021-12-31,Convex Adaptive Global RRP,2019-01-02,2021-12-31,730,0.2865873086705957,0.18727677778485174,1.315639714240503,-0.15668281754980107,1.8290921311745298,0.02572501984338698,0.0,0.0
rolling_36m_2020-01-01_2022-12-31,Convex Adaptive Global RRP,2020-01-02,2022-12-30,728,0.1035818505316295,0.18656592390403695,0.506907321721283,-0.22726161475564666,0.45578242785523393,0.02755511674190293,0.0,0.0
rolling_36m_2021-01-01_2023-12-31,Convex Adaptive Global RRP,2021-01-04,2023-12-29,727,-0.028423400943100252,0.1555888479979042,-0.2447944635477771,-0.24423562870193316,-0.1163769638941105,0.022817755960600417,0.0,0.0
rolling_36m_2022-01-01_2024-12-31,Convex Adaptive Global RRP,2022-01-04,2024-12-31,726,-0.06297031503464179,0.1581912935740309,-0.45126593778024476,-0.2360092443187788,-0.26681291750414443,0.022521283559831795,0.0,0.0
rolling_36m_2023-01-01_2025-12-31,Convex Adaptive Global RRP,2023-01-03,2025-12-31,727,0.06761941873614008,0.14143721463677375,0.41467961407854476,-0.20147698713388418,0.33561857211615964,0.018530612292966153,0.0,0.0
full_available_sample,Improved Convex Adaptive Global RRP,2018-01-02,2026-08-28,2101,0.058507013464599744,0.02879589303707439,1.2718963068581113,-0.03826930816462304,1.5288233906116147,0.004046600472610547,0.019510534592296482,0.23453391361486528
pre_2020,Improved Convex Adaptive Global RRP,2018-01-02,2019-12-31,487,0.05774506865329432,0.030098802623672097,0.9569674755293505,-0.03222916092887784,1.7917025137801157,0.004114736722513432,0.03122728142386356,0.3760142156065769
2020_2021,Improved Convex Adaptive Global RRP,2020-01-02,2021-12-31,486,0.06815006320467809,0.031757509624651556,1.3840879972999904,-0.038269308164622706,1.780802070199901,0.004502460992779181,0.027427275775018706,0.32980452598602744
post_2021,Improved Convex Adaptive Global RRP,2022-01-04,2026-08-28,1128,0.05408722535694244,0.02685552080235324,1.3539364339235755,-0.018045840544374414,2.997212860434119,0.003784138540582754,0.011096182586172496,0.1337426744947391
post_2022,Improved Convex Adaptive Global RRP,2023-01-03,2026-08-28,886,0.06514994607789526,0.025785174273343363,1.8435998421380997,-0.01804584054437508,3.6102472432741632,0.0035464973345389066,0.009999504760379922,0.12055666992052944
rolling_36m_2018-01-01_2020-12-31,Improved Convex Adaptive Global RRP,2018-01-02,2020-12-31,730,0.06763801483337795,0.03213198060907168,1.2535148029046772,-0.03826930816462304,1.7674219388137244,0.004463619060791816,0.03161436085977656,0.3799791873356508
rolling_36m_2019-01-01_2021-12-31,Improved Convex Adaptive Global RRP,2019-01-02,2021-12-31,730,0.07646706655665958,0.029543168165088327,1.7143729538264847,-0.03826930816462337,1.9981303614823822,0.004110028646782846,0.02601699186691601,0.3127033144955015
rolling_36m_2020-01-01_2022-12-31,Improved Convex Adaptive Global RRP,2020-01-02,2022-12-30,728,0.050488070091338155,0.03132959993395751,0.9019783624257791,-0.038269308164622706,1.3192835855342386,0.004504805936466825,0.02332396205470534,0.2805917447916931
rolling_36m_2021-01-01_2023-12-31,Improved Convex Adaptive Global RRP,2021-01-04,2023-12-29,727,0.03523878359886057,0.026244823365140838,0.522390932187323,-0.015442268834256478,2.281969312740388,0.0038090933911772828,0.01599622918727718,0.19314455241828066
rolling_36m_2022-01-01_2024-12-31,Improved Convex Adaptive Global RRP,2022-01-04,2024-12-31,726,0.04246509330472925,0.026092009406742667,0.8907652690142456,-0.015442268834256478,2.7499257887886577,0.003700261536248305,0.010992942939384655,0.13236832116297514
rolling_36m_2023-01-01_2025-12-31,Improved Convex Adaptive Global RRP,2023-01-03,2025-12-31,727,0.06324615308843429,0.024108716909772555,1.8611087803753736,-0.015418228872899009,4.102037504424621,0.003355055316788368,0.009331511648722621,0.11225987801377288
